     Temperature<1>          Density<2>        Viscosity<3>        ThermCond<4>   SurfaceTension<5>               Cp<6>        HeatOfVap<7>             Pvap<8>             Tsat<9>          Pvap_cc<10>
   2.00000E+001   8.52225E+002   1.47490E-002   1.69580E-001   3.03550E-002   1.96191E+003   5.95838E+005   8.55640E-002   5.82424E+002   3.88818E-135
   3.00000E+001   8.52225E+002   1.47490E-002   1.69580E-001   3.03550E-002   1.96191E+003   5.95838E+005   8.55640E-002   5.82424E+002   1.36383E-086
   4.00000E+001   8.52225E+002   1.47490E-002   1.69580E-001   3.03550E-002   1.96191E+003   5.95838E+005   8.55640E-002   5.82424E+002   2.55426E-062
   5.00000E+001   8.52225E+002   1.47490E-002   1.69580E-001   3.03550E-002   1.96191E+003   5.95838E+005   8.55640E-002   5.82424E+002   9.34909E-048
   6.00000E+001   8.52225E+002   1.47490E-002   1.69580E-001   3.03550E-002   1.96191E+003   5.95838E+005   8.55640E-002   5.82424E+002   4.78379E-038
   7.00000E+001   8.52225E+002   1.47490E-002   1.69580E-001   3.03550E-002   1.96191E+003   5.95838E+005   8.55640E-002   5.82424E+002   4.11883E-031
   8.00000E+001   8.52225E+002   1.47490E-002   1.69580E-001   3.03550E-002   1.96191E+003   5.95838E+005   8.55640E-002   5.82424E+002   6.54674E-026
   9.00000E+001   8.52225E+002   1.47490E-002   1.69580E-001   3.03550E-002   1.96191E+003   5.95838E+005   8.55640E-002   5.82424E+002   7.26847E-022
   1.00000E+002   8.52225E+002   1.47490E-002   1.69580E-001   3.03550E-002   1.96191E+003   5.95838E+005   8.55640E-002   5.82424E+002   1.25250E-018
   1.10000E+002   8.52225E+002   1.47490E-002   1.69580E-001   3.03550E-002   1.96191E+003   5.95838E+005   8.55640E-002   5.82424E+002   5.56785E-016
   1.20000E+002   8.52225E+002   1.47490E-002   1.69580E-001   3.03550E-002   1.96191E+003   5.95838E+005   8.55640E-002   5.82424E+002   8.95939E-014
   1.30000E+002   8.52225E+002   1.47490E-002   1.69580E-001   3.03550E-002   1.96191E+003   5.95838E+005   8.55640E-002   5.82424E+002   6.59773E-012
   1.40000E+002   8.52225E+002   1.47490E-002   1.69580E-001   3.03550E-002   1.96191E+003   5.95838E+005   8.55640E-002   5.82424E+002   2.62893E-010
   1.50000E+002   8.52225E+002   1.47490E-002   1.69580E-001   3.03550E-002   1.96191E+003   5.95838E+005   8.55640E-002   5.82424E+002   6.40885E-009
   1.60000E+002   8.52225E+002   1.47490E-002   1.69580E-001   3.03550E-002   1.96191E+003   5.95838E+005   8.55640E-002   5.82424E+002   1.04811E-007
   1.70000E+002   8.52225E+002   1.47490E-002   1.69580E-001   3.03550E-002   1.96191E+003   5.95838E+005   8.55640E-002   5.82424E+002   1.23382E-006
   1.80000E+002   8.52225E+002   1.47490E-002   1.69580E-001   3.03550E-002   1.96191E+003   5.95838E+005   8.55640E-002   5.82424E+002   1.10437E-005
   1.90000E+002   8.52225E+002   1.47490E-002   1.69580E-001   3.03550E-002   1.96191E+003   5.95838E+005   8.55640E-002   5.82424E+002   7.84840E-005
   2.00000E+002   8.52225E+002   1.47490E-002   1.69580E-001   3.03550E-002   1.96191E+003   5.95838E+005   8.55640E-002   5.82424E+002   4.58439E-004
   2.10000E+002   8.52225E+002   1.47490E-002   1.69580E-001   3.03550E-002   1.96191E+003   5.95838E+005   8.55640E-002   5.82424E+002   2.26351E-003
   2.20000E+002   8.52225E+002   1.47490E-002   1.69580E-001   3.03550E-002   1.96191E+003   5.95838E+005   8.55640E-002   5.82424E+002   9.66576E-003
   2.30000E+002   8.52225E+002   1.47490E-002   1.69580E-001   3.03550E-002   1.96191E+003   5.95838E+005   8.55640E-002   5.82424E+002   3.63805E-002
   2.40000E+002   8.52225E+002   1.47490E-002   1.69580E-001   3.03550E-002   1.96191E+003   5.95838E+005   8.55640E-002   5.82424E+002   1.22612E-001
   2.50000E+002   8.52225E+002   1.47490E-002   1.69580E-001   3.03550E-002   1.96191E+003   5.95838E+005   8.55640E-002   5.82424E+002   3.74958E-001
   2.60000E+002   8.50570E+002   1.47490E-002   1.69018E-001   3.02834E-002   2.03942E+003   5.93551E+005   1.19252E-001   5.82971E+002   1.08493E+000
   2.70000E+002   8.43460E+002   1.47490E-002   1.66611E-001   2.94751E-002   2.12146E+003   5.83749E+005   4.51910E-001   5.85377E+002   3.17323E+000
   2.80000E+002   8.36277E+002   1.47490E-002   1.64204E-001   2.86678E-002   2.20701E+003   5.73855E+005   1.52034E+000   5.87909E+002   8.50492E+000
   2.90000E+002   8.29015E+002   9.90967E-003   1.61797E-001   2.78616E-002   2.29508E+003   5.63867E+005   4.60110E+000   5.90580E+002   2.10755E+001
   3.00000E+002   8.21672E+002   6.87833E-003   1.59390E-001   2.70564E-002   2.38467E+003   5.53781E+005   1.26696E+001   5.93401E+002   4.86606E+001
   3.10000E+002   8.14244E+002   4.91575E-003   1.56983E-001   2.62523E-002   2.47480E+003   5.43592E+005   3.20578E+001   5.96385E+002   1.05386E+002
   3.20000E+002   8.06726E+002   3.60673E-003   1.54576E-001   2.54494E-002   2.56446E+003   5.33298E+005   7.51821E+001   5.99549E+002   2.15351E+002
   3.30000E+002   7.99116E+002   2.70986E-003   1.52169E-001   2.46476E-002   2.65267E+003   5.22893E+005   1.64657E+002   6.02910E+002   4.17356E+002
   3.40000E+002   7.91406E+002   2.08025E-003   1.49762E-001   2.38470E-002   2.73843E+003   5.12372E+005   3.39010E+002   6.06488E+002   7.70609E+002
   3.50000E+002   7.83594E+002   1.62841E-003   1.47355E-001   2.30477E-002   2.82076E+003   5.01732E+005   6.60012E+002   6.10305E+002   1.36104E+003
   3.60000E+002   7.75672E+002   1.29757E-003   1.44948E-001   2.22496E-002   2.89866E+003   4.90966E+005   1.22138E+003   6.14388E+002   2.30763E+003
   3.70000E+002   7.67635E+002   1.05085E-003   1.42541E-001   2.14529E-002   2.97114E+003   4.80069E+005   2.15833E+003   6.18768E+002   3.76785E+003
   3.80000E+002   7.59477E+002   8.63755E-004   1.40134E-001   2.06575E-002   3.03721E+003   4.69034E+005   3.65712E+003   6.23479E+002   5.94132E+003
   3.90000E+002   7.51189E+002   7.19693E-004   1.37727E-001   1.98635E-002   3.09587E+003   4.57855E+005   5.96379E+003   6.28562E+002   9.07048E+003
   4.00000E+002   7.42764E+002   6.07195E-004   1.35320E-001   1.90710E-002   3.14614E+003   4.46523E+005   9.39095E+003   6.34067E+002   1.34375E+004
   4.10000E+002   7.34193E+002   5.18204E-004   1.32913E-001   1.82800E-002   3.18702E+003   4.35031E+005   1.43220E+004   6.40049E+002   1.93568E+004
   4.20000E+002   7.25466E+002   4.46966E-004   1.30506E-001   1.74906E-002   3.21752E+003   4.23369E+005   2.12121E+004   6.46579E+002   2.71624E+004
   4.30000E+002   7.16571E+002   4.16650E-004   1.28099E-001   1.67028E-002   3.23664E+003   4.11529E+005   3.05858E+004   6.52500E+002   3.71908E+004
   4.40000E+002   7.07498E+002   4.16650E-004   1.25692E-001   1.59167E-002   3.24340E+003   3.99497E+005   4.30320E+004   6.52500E+002   4.97600E+004
   4.50000E+002   6.98231E+002   4.16650E-004   1.23285E-001   1.51324E-002   3.23680E+003   3.87263E+005   5.91955E+004   6.52500E+002   6.51452E+004
   4.60000E+002   6.88755E+002   4.16650E-004   1.20878E-001   1.43500E-002   3.21586E+003   3.74813E+005   7.97689E+004   6.52500E+002   8.35532E+004
   4.70000E+002   6.79053E+002   4.16650E-004   1.18471E-001   1.35695E-002   3.18667E+003   3.62131E+005   1.05482E+005   6.52500E+002   1.05097E+005
   4.80000E+002   6.69103E+002   4.16650E-004   1.16064E-001   1.27911E-002   3.18667E+003   3.49200E+005   1.37096E+005   6.52500E+002   1.29774E+005
   4.90000E+002   6.58883E+002   4.16650E-004   1.13657E-001   1.20149E-002   3.18667E+003   3.36000E+005   1.75396E+005   6.52500E+002   1.57444E+005
   5.00000E+002   6.48364E+002   4.16650E-004   1.11250E-001   1.12410E-002   3.18667E+003   3.22509E+005   2.21187E+005   6.52500E+002   1.87818E+005
   5.10000E+002   6.37514E+002   4.16650E-004   1.08843E-001   1.04695E-002   3.18667E+003   3.08700E+005   2.75305E+005   6.52500E+002   2.20452E+005
   5.20000E+002   6.26295E+002   4.16650E-004   1.06436E-001   9.70067E-003   3.18667E+003   2.94542E+005   3.38617E+005   6.52500E+002   2.54746E+005
   5.30000E+002   6.14660E+002   4.16650E-004   1.04029E-001   8.93462E-003   3.18667E+003   2.80000E+005   4.12040E+005   6.52500E+002   2.89951E+005
   5.40000E+002   6.02553E+002   4.16650E-004   1.01622E-001   8.17158E-003   3.18667E+003   2.65030E+005   4.96566E+005   6.52500E+002   3.25190E+005
   5.50000E+002   5.89904E+002   4.16650E-004   9.92150E-002   7.41182E-003   3.18667E+003   2.49579E+005   5.93289E+005   6.52500E+002   3.59474E+005
   5.60000E+002   5.76624E+002   4.16650E-004   9.68080E-002   6.65563E-003   3.18667E+003   2.33583E+005   7.03450E+005   6.52500E+002   3.91731E+005
   5.70000E+002   5.62598E+002   4.16650E-004   9.44010E-002   5.90339E-003   3.18667E+003   2.16961E+005   8.28483E+005   6.52500E+002   4.20834E+005
   5.80000E+002   5.47672E+002   4.16650E-004   9.43650E-002   5.15555E-003   3.18667E+003   1.99606E+005   9.70080E+005   6.52500E+002   4.45630E+005
   5.90000E+002   5.31634E+002   4.16650E-004   9.43650E-002   4.41269E-003   3.18667E+003   1.81377E+005   1.13027E+006   6.52500E+002   4.64959E+005
   6.00000E+002   5.14177E+002   4.16650E-004   9.43650E-002   3.67558E-003   3.18667E+003   1.62078E+005   1.31151E+006   6.52500E+002   4.77663E+005
