     Temperature<1>          Density<2>        Viscosity<3>        ThermCond<4>               Cp<5>         DiffCoeff<6>
   2.00000E+001   3.93143E+003   4.58270E-006   2.37960E-002   1.15603E+003   7.10778E-010
   3.00000E+001   2.62095E+003   4.58270E-006   2.37960E-002   1.15603E+003   1.43633E-009
   4.00000E+001   1.96572E+003   4.58270E-006   2.37960E-002   1.15603E+003   2.40729E-009
   5.00000E+001   1.57257E+003   4.58270E-006   2.37960E-002   1.15603E+003   3.63508E-009
   6.00000E+001   1.31048E+003   4.58270E-006   2.37960E-002   1.15603E+003   5.13147E-009
   7.00000E+001   1.12327E+003   4.58270E-006   2.37960E-002   1.15603E+003   6.90695E-009
   8.00000E+001   9.82858E+002   4.58270E-006   2.37960E-002   1.15603E+003   8.97021E-009
   9.00000E+001   8.73651E+002   4.58270E-006   2.37960E-002   1.15603E+003   1.13278E-008
   1.00000E+002   7.86286E+002   4.58270E-006   2.37960E-002   1.15603E+003   1.39843E-008
   1.10000E+002   7.14806E+002   4.58270E-006   2.37960E-002   1.15603E+003   1.69421E-008
   1.20000E+002   6.55239E+002   4.58270E-006   2.37960E-002   1.15603E+003   2.02022E-008
   1.30000E+002   6.04836E+002   4.58270E-006   2.37960E-002   1.15603E+003   2.37638E-008
   1.40000E+002   5.61633E+002   4.58270E-006   2.37960E-002   1.15603E+003   2.76251E-008
   1.50000E+002   5.24191E+002   4.58270E-006   2.37960E-002   1.15603E+003   3.17831E-008
   1.60000E+002   4.91429E+002   4.58270E-006   2.37960E-002   1.15603E+003   3.62344E-008
   1.70000E+002   4.62521E+002   4.58270E-006   2.37960E-002   1.15603E+003   4.09748E-008
   1.80000E+002   4.36826E+002   4.58270E-006   2.37960E-002   1.15603E+003   4.59997E-008
   1.90000E+002   4.13835E+002   4.58270E-006   2.37960E-002   1.15603E+003   5.13045E-008
   2.00000E+002   3.93143E+002   4.58270E-006   2.37960E-002   1.15603E+003   5.68845E-008
   2.10000E+002   3.74422E+002   4.58270E-006   2.37960E-002   1.18261E+003   6.27346E-008
   2.20000E+002   3.57403E+002   4.58270E-006   2.37960E-002   1.21249E+003   6.88502E-008
   2.30000E+002   3.41864E+002   4.58270E-006   2.37960E-002   1.24539E+003   7.52266E-008
   2.40000E+002   3.27619E+002   4.58270E-006   2.37960E-002   1.28097E+003   8.18590E-008
   2.50000E+002   3.14515E+002   4.58270E-006   2.37960E-002   1.31888E+003   8.87430E-008
   2.60000E+002   3.02418E+002   4.63031E-006   2.37960E-002   1.35876E+003   9.58743E-008
   2.70000E+002   2.91217E+002   4.83249E-006   2.37960E-002   1.40025E+003   1.03249E-007
   2.80000E+002   2.80817E+002   5.03401E-006   2.37960E-002   1.44301E+003   1.10862E-007
   2.90000E+002   2.71133E+002   5.23481E-006   2.37960E-002   1.48672E+003   1.18710E-007
   3.00000E+002   2.62095E+002   5.43486E-006   2.37960E-002   1.53109E+003   1.26789E-007
   3.10000E+002   2.53641E+002   5.63414E-006   2.37960E-002   1.57585E+003   1.35096E-007
   3.20000E+002   2.45714E+002   5.83261E-006   2.37960E-002   1.62077E+003   1.43627E-007
   3.30000E+002   2.38269E+002   6.03026E-006   2.37960E-002   1.66565E+003   1.52377E-007
   3.40000E+002   2.31261E+002   6.22707E-006   2.37960E-002   1.71032E+003   1.61345E-007
   3.50000E+002   2.24653E+002   6.42304E-006   2.37960E-002   1.75464E+003   1.70526E-007
   3.60000E+002   2.18413E+002   6.61815E-006   2.37960E-002   1.79849E+003   1.79918E-007
   3.70000E+002   2.12510E+002   6.81239E-006   2.37960E-002   1.84178E+003   1.89516E-007
   3.80000E+002   2.06917E+002   7.00576E-006   2.37960E-002   1.88442E+003   1.99319E-007
   3.90000E+002   2.01612E+002   7.19827E-006   2.37960E-002   1.92638E+003   2.09323E-007
   4.00000E+002   1.96572E+002   7.38990E-006   2.37960E-002   1.96760E+003   2.19526E-007
   4.10000E+002   1.91777E+002   7.58066E-006   2.37960E-002   2.00806E+003   2.29924E-007
   4.20000E+002   1.87211E+002   7.77055E-006   2.37960E-002   2.04775E+003   2.40515E-007
   4.30000E+002   1.82857E+002   7.95958E-006   2.37960E-002   2.08665E+003   2.51297E-007
   4.40000E+002   1.78701E+002   8.14774E-006   2.37960E-002   2.12477E+003   2.62266E-007
   4.50000E+002   1.74730E+002   8.33505E-006   2.37960E-002   2.16211E+003   2.73422E-007
   4.60000E+002   1.70932E+002   8.52151E-006   2.37960E-002   2.19869E+003   2.84760E-007
   4.70000E+002   1.67295E+002   8.70712E-006   2.39562E-002   2.23451E+003   2.96279E-007
   4.80000E+002   1.63810E+002   8.89190E-006   2.49398E-002   2.26959E+003   3.07977E-007
   4.90000E+002   1.60467E+002   9.07585E-006   2.59428E-002   2.30396E+003   3.19851E-007
   5.00000E+002   1.57257E+002   9.25897E-006   2.69651E-002   2.33763E+003   3.31900E-007
   5.10000E+002   1.54174E+002   9.44128E-006   2.80066E-002   2.37062E+003   3.44122E-007
   5.20000E+002   1.51209E+002   9.62278E-006   2.90675E-002   2.40295E+003   3.56515E-007
   5.30000E+002   1.48356E+002   9.80348E-006   3.01476E-002   2.43464E+003   3.69077E-007
   5.40000E+002   1.45609E+002   9.98339E-006   3.12470E-002   2.46571E+003   3.81806E-007
   5.50000E+002   1.42961E+002   1.01625E-005   3.23657E-002   2.49619E+003   3.94701E-007
   5.60000E+002   1.40408E+002   1.03409E-005   3.35037E-002   2.52608E+003   4.07761E-007
   5.70000E+002   1.37945E+002   1.05185E-005   3.46610E-002   2.55541E+003   4.20983E-007
   5.80000E+002   1.35567E+002   1.06953E-005   3.58377E-002   2.58420E+003   4.34366E-007
   5.90000E+002   1.33269E+002   1.08714E-005   3.70336E-002   2.61246E+003   4.47909E-007
   6.00000E+002   1.31048E+002   1.10467E-005   3.82489E-002   2.64021E+003   4.61610E-007
   6.10000E+002   1.28899E+002   1.12214E-005   3.94836E-002   2.66746E+003   4.75469E-007
   6.20000E+002   1.26820E+002   1.13953E-005   4.07375E-002   2.69422E+003   4.89484E-007
   6.30000E+002   1.24807E+002   1.15685E-005   4.20109E-002   2.72051E+003   5.03654E-007
   6.40000E+002   1.22857E+002   1.17409E-005   4.33036E-002   2.74634E+003   5.17977E-007
   6.50000E+002   1.20967E+002   1.19127E-005   4.46156E-002   2.77173E+003   5.32453E-007
   6.60000E+002   1.19134E+002   1.20838E-005   4.59471E-002   2.79667E+003   5.47081E-007
   6.70000E+002   1.17356E+002   1.22543E-005   4.72980E-002   2.82119E+003   5.61859E-007
   6.80000E+002   1.15630E+002   1.24240E-005   4.86683E-002   2.84530E+003   5.76787E-007
   6.90000E+002   1.13955E+002   1.25931E-005   5.00580E-002   2.86899E+003   5.91864E-007
   7.00000E+002   1.12327E+002   1.27615E-005   5.14672E-002   2.89229E+003   6.07089E-007
   7.10000E+002   1.10745E+002   1.29293E-005   5.28958E-002   2.91519E+003   6.22460E-007
   7.20000E+002   1.09206E+002   1.30965E-005   5.43439E-002   2.93771E+003   6.37978E-007
   7.30000E+002   1.07710E+002   1.32630E-005   5.58115E-002   2.95986E+003   6.53641E-007
   7.40000E+002   1.06255E+002   1.34289E-005   5.72986E-002   2.98164E+003   6.69448E-007
   7.50000E+002   1.04838E+002   1.35942E-005   5.88052E-002   3.00305E+003   6.85399E-007
   7.60000E+002   1.03459E+002   1.37589E-005   6.03314E-002   3.02411E+003   7.01493E-007
   7.70000E+002   1.02115E+002   1.39230E-005   6.18771E-002   3.04482E+003   7.17730E-007
   7.80000E+002   1.00806E+002   1.40865E-005   6.34425E-002   3.06519E+003   7.34108E-007
   7.90000E+002   9.95299E+001   1.42494E-005   6.50274E-002   3.08522E+003   7.50628E-007
   8.00000E+002   9.82858E+001   1.44117E-005   6.66319E-002   3.10491E+003   7.67287E-007
   8.10000E+002   9.70724E+001   1.45735E-005   6.82561E-002   3.12429E+003   7.84086E-007
   8.20000E+002   9.58886E+001   1.47347E-005   6.98999E-002   3.14334E+003   8.01024E-007
