Krok,Czas_[ms],Zasieg_cieczy_LPL_[mm],Zasieg_pary_VPL_[mm],Predkosc_czola_[m/s],Srednica_czola_SMD_[um]
000000,0.00000,0.0000,0.0000,0.0000,0.0000
000010,0.97637,0.0000,0.0093,0.0000,0.0000
000020,1.95275,0.0000,0.0279,0.0000,0.0000
000030,2.92912,0.0000,0.0279,0.0000,0.0000
000040,3.90550,0.0000,0.0465,0.0000,0.0000
000050,4.88187,0.0279,0.0465,1183.2284,0.0000
000060,5.85825,0.0279,0.0651,1435.0402,0.0000
000070,6.83462,0.0465,0.0651,1468.8279,0.0000
000080,7.81100,0.0465,0.0651,1697.4188,0.0000
000090,8.78737,0.0465,0.0838,1930.9562,0.0000
000100,9.76375,0.0651,0.0838,1934.3378,0.0000
000110,10.74010,0.0651,0.1024,2152.8678,0.0000
000120,11.71650,0.0651,0.1024,2377.2107,0.0000
000130,12.69290,0.0838,0.1210,2362.7203,0.0000
000140,13.66920,0.0838,0.1210,2576.7369,0.0000
000150,14.64560,0.1024,0.1210,2564.2586,0.0000
000160,15.62200,0.1024,0.1396,2770.9392,0.0000
000170,16.59840,0.1024,0.1396,2984.1733,0.0000
000180,17.57470,0.1210,0.1582,2961.5783,0.0000
000190,18.55110,0.1210,0.1582,3169.7121,0.0000
000200,19.52750,0.1396,0.1582,3150.0375,0.0000
000210,20.50390,0.1396,0.1768,3354.7059,0.0000
000220,21.48020,0.1582,0.1768,3337.4627,0.0000
000230,22.45660,0.1582,0.1954,3539.9792,0.0000
000240,23.43300,0.1582,0.1954,3749.8038,0.0000
000250,24.40940,0.1768,0.2141,3726.3006,0.0000
000260,25.38570,0.1768,0.2141,3935.1610,0.0000
000270,26.36210,0.1954,0.2327,3914.3266,0.0000
000280,27.33850,0.1954,0.2327,4123.1311,0.0000
000290,28.31490,0.2141,0.2513,4104.7142,0.0000
000300,29.29120,0.2141,0.2513,4314.2593,0.0000
000310,30.26760,0.2327,0.2513,4298.0362,0.0000
000320,31.24400,0.2327,0.2699,4509.0345,0.0000
000330,32.22040,0.2513,0.2699,4494.8655,0.0000
000340,33.19670,0.2513,0.2885,4707.9738,0.0000
000350,34.17310,0.2699,0.2885,4695.7471,0.0000
000360,35.14950,0.2699,0.3071,4911.5802,0.0000
000370,36.12590,0.2885,0.3071,4901.2259,0.0000
000380,37.10220,0.2885,0.3257,5120.3708,0.0000
000390,38.07860,0.3071,0.3444,5111.8191,0.0000
000400,39.05500,0.3071,0.3444,5334.8205,0.0000
000410,40.03140,0.3257,0.3630,5328.0574,0.0000
000420,41.00770,0.3257,0.3630,5555.4605,0.0000
000430,41.98410,0.3444,0.3816,5550.4581,0.0000
000440,42.96050,0.3444,0.3816,5782.7379,0.0000
000450,43.93690,0.3630,0.4002,5779.4821,0.0000
000460,44.91320,0.3816,0.4002,5781.9274,0.0000
000470,45.88960,0.3816,0.4188,6015.5208,0.0000
000480,46.86600,0.4002,0.4374,6019.4892,0.0000
000490,47.84240,0.4002,0.4374,6258.8256,0.0000
000500,48.81870,0.4188,0.4560,6264.2612,0.0000
000510,49.79510,0.4374,0.4560,6274.5177,0.0000
000520,50.77150,0.4374,0.4747,6516.1458,0.0000
000530,51.74790,0.4560,0.4933,6527.5480,0.0000
000540,52.72420,0.4560,0.4933,6774.6537,0.0000
000550,53.70060,0.4747,0.5119,6786.8944,0.0000
000560,54.67700,0.4933,0.5119,6803.2293,0.0000
000570,55.65340,0.4933,0.5305,7051.4667,0.0000
000580,56.62970,0.5119,0.5491,7068.0252,0.0000
000590,57.60610,0.5305,0.5491,7088.0910,0.0000
000600,58.58250,0.5305,0.5677,7335.8673,0.0000
000610,59.55890,0.5491,0.5863,7355.4161,0.0000
000620,60.53520,0.5677,0.5863,7377.9273,0.0000
000630,61.51160,0.5677,0.6050,7623.1604,0.0000
000640,62.48800,0.5863,0.6236,7644.3162,0.0000
000650,63.46440,0.6050,0.6236,7667.9591,0.0000
000660,64.44070,0.6050,0.6422,7908.4553,0.0000
000670,65.41710,0.6236,0.6608,7929.9744,0.0000
000680,66.39350,0.6422,0.6608,7953.5056,0.0000
000690,67.36990,0.6422,0.6794,8187.3504,0.0000
000700,68.34620,0.6608,0.6980,8208.1568,0.0000
000710,69.32260,0.6794,0.7166,8230.5981,0.0000
000720,70.29900,0.6980,0.7166,8254.4507,0.0000
000730,71.27540,0.6980,0.7353,8475.6077,0.0000
000740,72.25170,0.7166,0.7539,8496.2045,0.0000
000750,73.22810,0.7353,0.7539,8517.9611,0.0000
000760,74.20450,0.7353,0.7725,8730.1332,0.0000
000770,75.18090,0.7539,0.7911,8748.4104,0.0000
000780,76.15720,0.7725,0.8097,8767.6378,0.0000
000790,77.13360,0.7911,0.8097,8787.6477,0.0000
000800,78.11000,0.7911,0.8283,8986.2237,0.0000
000810,79.08640,0.8097,0.8469,9002.6843,0.0000
000820,80.06270,0.8283,0.8655,9019.8297,0.0000
000830,81.03910,0.8469,0.8655,9037.5480,0.0000
000840,82.01550,0.8469,0.8842,9223.0309,0.0000
000850,82.99190,0.8655,0.9028,9237.2698,0.0000
000860,83.96820,0.8842,0.9214,9252.0257,0.0000
000870,84.94460,0.9028,0.9214,9267.1868,0.0000
000880,85.92100,0.9028,0.9400,9440.4290,0.0000
000890,86.89740,0.9214,0.9586,9452.2925,0.0000
000900,87.87370,0.9400,0.9772,9464.5471,0.0000
000910,88.85010,0.9586,0.9772,9477.1092,0.0000
000920,89.82650,0.9586,0.9958,9639.1168,0.0000
000930,90.80290,0.9772,1.0145,9648.6187,0.0000
000940,91.77920,0.9958,1.0331,9658.4281,0.0000
000950,92.75560,1.0145,1.0331,9668.4749,0.0000
000960,93.73200,1.0145,1.0517,9820.2959,0.0000
000970,94.70840,1.0331,1.0703,9827.5202,0.0000
000980,95.68470,1.0517,1.0889,9834.9959,0.0000
000990,96.66110,1.0703,1.1075,9842.6813,0.0000
001000,97.63750,1.0889,1.1075,9850.5623,0.0000
001010,98.61390,1.0889,1.1261,9990.3941,0.0000
001020,99.59020,1.1075,1.1448,9995.7040,0.0000
001030,100.56700,1.1261,1.1634,10001.2095,0.0000
001040,101.54300,1.1448,1.1634,10006.8688,0.0000
001050,102.51900,1.1448,1.1820,10138.6519,0.0000
001060,103.49600,1.1634,1.2006,10141.9776,0.0000
001070,104.47200,1.1820,1.2192,10145.4709,0.0000
001080,105.44800,1.2006,1.2192,10149.1180,0.0000
001090,106.42500,1.2006,1.2378,10273.6349,0.0000
001100,107.40100,1.2192,1.2564,10275.1441,0.0000
001110,108.37800,1.2378,1.2751,10276.8069,0.0000
001120,109.35400,1.2564,1.2751,10278.6234,0.0000
001130,110.33000,1.2751,1.2937,10280.5518,0.0000
001140,111.30700,1.2751,1.3123,10396.4192,0.0000
001150,112.28300,1.2937,1.3309,10396.4192,0.0000
001160,113.25900,1.3123,1.3309,10396.5729,0.0000
001170,114.23600,1.3309,1.3495,10396.8384,0.0000
001180,115.21200,1.3309,1.3681,10506.9208,0.0000
001190,116.18900,1.3495,1.3867,10505.4117,0.0000
001200,117.16500,1.3681,1.3867,10504.0423,0.0000
001210,118.14100,1.3867,1.4054,10502.7987,0.0000
001220,119.11800,1.3867,1.4240,10607.6132,0.0000
001230,120.09400,1.4054,1.4426,10604.7207,0.0000
001240,121.07000,1.4240,1.4426,10601.9679,0.0000
001250,122.04700,1.4426,1.4612,10599.3409,0.0000
001260,123.02300,1.4612,1.4798,10596.8257,0.0000
001270,124.00000,1.4612,1.4984,10695.1984,0.0000
001280,124.97600,1.4798,1.4984,10691.1881,0.0000
001290,125.95200,1.4984,1.5170,10687.3035,0.0000
001300,126.92900,1.5170,1.5356,10683.5446,0.0000
001310,127.90500,1.5170,1.5543,10777.5996,0.0000
001320,128.88100,1.5356,1.5543,10772.4434,0.0000
001330,129.85800,1.5543,1.5729,10767.4130,0.0000
001340,130.83400,1.5729,1.5915,10762.4943,0.0000
001350,131.81100,1.5915,1.6101,10757.6875,0.0000
001360,132.78700,1.5915,1.6101,10846.3767,0.0000
001370,133.76300,1.6101,1.6287,10840.2982,0.0000
001380,134.74000,1.6287,1.6473,10834.3316,0.0000
001390,135.71600,1.6473,1.6473,10828.4767,0.0000
001400,136.69200,1.6473,1.6660,10913.5468,0.0000
001410,137.66900,1.6660,1.6846,10906.4902,0.0000
001420,138.64500,1.6846,1.6846,10899.5734,0.0000
001430,139.62200,1.7032,1.7032,10892.7544,0.0000
001440,140.59800,1.7032,1.7218,10974.4568,0.0000
001450,141.57400,1.7218,1.7218,10966.5199,0.0000
001460,142.55100,1.7404,1.7404,10958.7088,0.0000
001470,143.52700,1.7590,1.7590,10951.0095,0.0000
001480,144.50300,1.7776,1.7590,10943.4079,0.0000
001490,145.48000,1.7776,1.7776,11020.7926,0.0000
001500,146.45600,1.7962,1.7962,11012.1710,0.0000
001510,147.43300,1.8149,1.8149,11003.6473,0.0000
001520,148.40900,1.8335,1.8335,10995.2493,0.0000
001530,149.38500,1.8335,1.8335,11069.7275,0.0000
001540,150.36200,1.8521,1.8521,11060.3513,0.0000
