Krok,Czas_[ms],Pozycja_Z_[mm],Gestosc_wzgledna_[-],Ulamek_cieczy_Yl_[-],Ulamek_pary_Yv_[-],Predkosc_cieczy_[m/s],Predkosc_gazu_[m/s],Srednica_kropel_SMD_[um],Temp_kropel_[K],Temp_gazu_[K],Promien_strugi_b_[mm]
000000,0.00000,0.0682,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,0.2046,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,0.3411,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,0.4775,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,0.6139,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,0.7504,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,0.8868,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,1.0232,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,1.1597,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,1.2961,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,1.4325,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,1.5690,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,1.7054,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,1.8418,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,1.9783,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,2.1147,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,2.2511,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,2.3876,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,2.5240,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
