#"bin_extents"	"bin_values"
8.1031047294288777e-08	223
1.3859705365604215e-07	278
1.9616306001779549e-07	385
2.5372906637954888e-07	490
3.1129507274130222e-07	550
3.6886107910305557e-07	611
4.2642708546480896e-07	718
4.8399309182656225e-07	754
5.4155909818831564e-07	733
5.9912510455006904e-07	762
6.5669111091182233e-07	793
7.1425711727357572e-07	828
7.7182312363532912e-07	778
8.2938912999708241e-07	783
8.8695513635883580e-07	755
9.4452114272058909e-07	748
1.0020871490823424e-06	710
1.0596531554440958e-06	709
1.1172191618058492e-06	690
1.1747851681676024e-06	652
1.2323511745293557e-06	549
1.2899171808911091e-06	503
1.3474831872528625e-06	432
1.4050491936146159e-06	408
1.4626151999763693e-06	349
1.5201812063381225e-06	297
1.5777472126998759e-06	250
1.6353132190616293e-06	214
1.6928792254233827e-06	206
1.7504452317851361e-06	141
1.8080112381468893e-06	152
1.8655772445086427e-06	91
1.9231432508703961e-06	107
1.9807092572321497e-06	79
2.0382752635939028e-06	48
2.0958412699556560e-06	41
2.1534072763174096e-06	52
2.2109732826791628e-06	31
2.2685392890409160e-06	14
2.3261052954026696e-06	15
2.3836713017644228e-06	20
2.4412373081261764e-06	12
2.4988033144879296e-06	6
2.5563693208496828e-06	4
2.6139353272114364e-06	3
2.6715013335731896e-06	3
2.7290673399349432e-06	5
2.7866333462966963e-06	0
2.8441993526584500e-06	0
2.9017653590202031e-06	1
