#timeASI[ms]	Max. Liquid Penetration[mm]	Std. deviation[mm]	error[mm]
0	0	0	0.1
0.005	0.5	0	0.1
0.01	1.5059	0.11469	0.32938
0.015	2.5431	0.06329	0.22658
0.02	3.821	0.04945	0.1989
0.025	5.1013	0.26069	0.62139
0.03	6.2347	0.47688	1.0538
0.035	6.9853	0.52743	1.1549
0.04	7.712	0.54419	1.1884
0.045	8.2999	0.72363	1.5473
0.05	8.7977	1.0232	2.1465
0.055	8.5832	0.31561	0.73122
0.06	8.9754	0.096344	0.29269
0.065	8.8063	0.3366	0.7732
0.07	8.0755	0.56599	1.232
0.075	8.147	0.36381	0.82762
0.08	7.9376	0.42249	0.94499
0.085	8.0963	0.036076	0.17215
0.09	8.3426	0.4864	1.0728
0.095	7.9494	0.13259	0.36518
0.1	8.1527	0.40457	0.90915
0.105	8.4811	1.0104	2.1208
0.11	8.6914	1.3005	2.7011
0.115	8.477	0.69399	1.488
0.12	8.4051	1.3297	2.7593
0.125	8.706	1.3438	2.7876
0.13	8.6539	0.44082	0.98164
0.135	9.0113	1.1485	2.3969
0.14	9.4722	0.67389	1.4478
0.145	9.567	0.023916	0.14783
0.15	9.3359	0.53126	1.1625
0.155	9.3717	0.024738	0.14948
0.16	9.7435	0.65748	1.415
0.165	9.4702	0.63336	1.3667
0.17	9.1146	0.20792	0.51584
0.175	9.6865	0.0057424	0.11148
0.18	9.3853	0.10776	0.31552
0.185	9.0697	0.10339	0.30679
0.19	8.9291	0.1042	0.3084
0.195	8.6432	0.19907	0.49814
0.2	8.8728	0.75247	1.6049
0.205	9.5113	0.80023	1.7005
0.21	9.9325	0.48023	1.0605
0.215	9.4679	0.42969	0.95937
0.22	9.9442	0.17235	0.44471
0.225	10.537	0.50005	1.1001
0.23	11.01	1.2843	2.6686
0.235	9.3301	0.18152	0.46305
0.24	9.47	0.90529	1.9106
0.245	9.6358	0.4886	1.0772
0.25	9.4222	0.0022998	0.1046
0.255	9.172	0.15393	0.40787
0.26	9.6874	0.35211	0.80422
0.265	9.9209	0.38969	0.87938
0.27	9.9085	0.23457	0.56914
0.275	10.266	0.37197	0.84393
0.28	10.5	0.5129	1.1258
0.285	10.416	0.38273	0.86547
0.29	10.029	0.0049042	0.10981
0.295	10.243	0.60163	1.3033
0.3	10.241	0.51354	1.1271
0.305	10.232	0.39947	0.89895
0.31	10.485	0.47532	1.0506
0.315	10.306	0.48504	1.0701
0.32	10.386	0.59171	1.2834
0.325	10.46	0.30531	0.71062
0.33	10.194	0.20941	0.51883
0.335	9.0507	0.61369	1.3274
0.34	9.307	0.55085	1.2017
0.345	9.8212	0.57972	1.2594
0.35	10.091	0.67443	1.4489
0.355	9.7337	1.0788	2.2576
0.36	10.439	0.6304	1.3608
0.365	10.632	0.16078	0.42155
0.37	10.084	0.79263	1.6853
0.375	10.049	0.74208	1.5842
0.38	9.7747	0.15347	0.40694
0.385	10.084	0.73649	1.573
0.39	10.794	1.0479	2.1958
0.395	10.401	0.6201	1.3402
0.4	10.084	0.50066	1.1013
0.405	10.05	0.18787	0.47573
0.41	10.36	0.77191	1.6438
0.415	11.253	0.72127	1.5425
0.42	10.611	0.28127	0.66254
0.425	10.09	0.2773	0.6546
0.43	10.109	0.0047847	0.10957
0.435	9.9659	0.61132	1.3226
0.44	10.29	0.18953	0.47905
0.445	10.609	0.40167	0.90335
0.45	10.655	0.61207	1.3241
0.455	10.369	0.49981	1.0996
0.46	10.735	0.54147	1.1829
0.465	10.731	0.69082	1.4816
0.47	10.63	0.43632	0.97263
0.475	11.023	0.42295	0.94589
0.48	10.892	0.27478	0.64956
0.485	10.472	0.98881	2.0776
0.49	9.8753	0.90848	1.917
0.495	9.7681	0.051872	0.20374
0.5	9.9377	0.38182	0.86364
0.505	10.017	0.5633	1.2266
0.51	9.7812	0.20044	0.50088
0.515	10.389	0.65535	1.4107
0.52	10.222	0.20836	0.51672
0.525	10.451	0.30482	0.70964
0.53	10.739	0.13174	0.36348
0.535	10.846	0.68774	1.4755
0.54	10.73	0.85327	1.8065
0.545	10.82	0.99451	2.089
0.55	10.942	0.85624	1.8125
0.555	10.406	0.90695	1.9139
0.56	10.484	0.69605	1.4921
0.565	10.568	0.27377	0.64753
0.57	10.565	0.025075	0.15015
0.575	10.6	0.17741	0.45483
0.58	10.172	0.07767	0.25534
0.585	10.295	0.057174	0.21435
0.59	10.85	0.53265	1.1653
0.595	10.496	0.83072	1.7614
0.6	10.63	0.21144	0.52287
0.605	10.382	0.19775	0.49549
