#"bin_extents"	"bin_values"
8.0957453647556573e-08	16
1.3667511261417076e-07	27
1.9239277158078493e-07	46
2.4811043054739911e-07	38
3.0382808951401325e-07	45
3.5954574848062745e-07	70
4.1526340744724165e-07	49
4.7098106641385580e-07	59
5.2669872538046995e-07	52
5.8241638434708420e-07	70
6.3813404331369835e-07	58
6.9385170228031249e-07	63
7.4956936124692675e-07	54
8.0528702021354089e-07	67
8.6100467918015504e-07	42
9.1672233814676929e-07	55
9.7243999711338355e-07	51
1.0281576560799975e-06	57
1.0838753150466118e-06	54
1.1395929740132260e-06	43
1.1953106329798401e-06	34
1.2510282919464543e-06	28
1.3067459509130684e-06	25
1.3624636098796828e-06	25
1.4181812688462969e-06	25
1.4738989278129111e-06	23
1.5296165867795252e-06	31
1.5853342457461394e-06	15
1.6410519047127535e-06	15
1.6967695636793679e-06	14
1.7524872226459820e-06	12
1.8082048816125962e-06	8
1.8639225405792103e-06	6
1.9196401995458247e-06	7
1.9753578585124384e-06	5
2.0310755174790530e-06	4
2.0867931764456671e-06	2
2.1425108354122813e-06	5
2.1982284943788954e-06	2
2.2539461533455096e-06	3
2.3096638123121237e-06	1
2.3653814712787379e-06	2
2.4210991302453520e-06	0
2.4768167892119661e-06	0
2.5325344481785803e-06	4
2.5882521071451949e-06	2
2.6439697661118090e-06	1
2.6996874250784232e-06	0
2.7554050840450373e-06	0
2.8111227430116515e-06	1
