Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
300.00	0.0066749	677.94	0.0014751	-17.189	-17.188	-51.224	178.51	225.22	1120.1	-0.41016	380.04	0.13074	0.019832	0.27019	3.7011	16.807	19.282	70.343	158.08	166.77	160.82	67.305	6.0076	0.011741
301.20	0.0070782	676.92	0.0014773	-16.919	-16.918	-50.324	178.93	225.68	1115.2	-0.40830	375.01	0.13043	0.019706	0.28547	3.5030	16.993	19.478	70.511	158.62	167.33	161.08	66.284	6.0330	0.011833
302.40	0.0075017	675.90	0.0014795	-16.648	-16.647	-49.426	179.36	226.14	1110.2	-0.40643	370.09	0.13013	0.019580	0.30146	3.3172	17.181	19.674	70.683	159.16	167.88	161.34	65.285	6.0584	0.011926
303.60	0.0079461	674.88	0.0014817	-16.376	-16.375	-48.530	179.79	226.60	1105.2	-0.40454	365.26	0.12982	0.019454	0.31817	3.1430	17.369	19.871	70.859	159.70	168.44	161.59	64.306	6.0838	0.012019
304.80	0.0084122	673.86	0.0014840	-16.104	-16.103	-47.635	180.21	227.07	1100.3	-0.40264	360.53	0.12951	0.019329	0.33563	2.9795	17.557	20.069	71.038	160.24	169.00	161.85	63.348	6.1093	0.012112
306.00	0.0089009	672.84	0.0014862	-15.831	-15.830	-46.742	180.64	227.54	1095.3	-0.40072	355.89	0.12921	0.019203	0.35387	2.8259	17.746	20.267	71.221	160.79	169.57	162.10	62.409	6.1348	0.012206
307.20	0.0094129	671.82	0.0014885	-15.558	-15.557	-45.851	181.08	228.01	1090.4	-0.39879	351.35	0.12890	0.019078	0.37291	2.6816	17.936	20.465	71.408	161.33	170.13	162.35	61.489	6.1603	0.012301
308.40	0.0099491	670.79	0.0014908	-15.284	-15.283	-44.961	181.51	228.48	1085.5	-0.39684	346.89	0.12859	0.018954	0.39278	2.5460	18.126	20.664	71.598	161.88	170.70	162.59	60.588	6.1859	0.012396
309.60	0.010510	669.77	0.0014931	-15.010	-15.008	-44.073	181.95	228.96	1080.6	-0.39488	342.52	0.12829	0.018829	0.41350	2.4184	18.317	20.863	71.792	162.43	171.27	162.83	59.706	6.2115	0.012491
310.80	0.011098	668.74	0.0014954	-14.735	-14.733	-43.186	182.38	229.44	1075.6	-0.39290	338.23	0.12798	0.018705	0.43511	2.2983	18.508	21.063	71.989	162.98	171.84	163.07	58.842	6.2371	0.012587
312.00	0.011712	667.71	0.0014977	-14.459	-14.457	-42.301	182.82	229.92	1070.7	-0.39091	334.03	0.12768	0.018580	0.45763	2.1852	18.699	21.264	72.189	163.53	172.41	163.31	57.995	6.2628	0.012683
313.20	0.012354	666.68	0.0015000	-14.183	-14.181	-41.418	183.26	230.40	1065.8	-0.38891	329.90	0.12737	0.018456	0.48108	2.0787	18.891	21.465	72.393	164.08	172.98	163.54	57.165	6.2885	0.012780
314.40	0.013024	665.65	0.0015023	-13.906	-13.904	-40.536	183.70	230.89	1060.9	-0.38689	325.86	0.12707	0.018332	0.50550	1.9782	19.084	21.666	72.601	164.63	173.56	163.77	56.352	6.3142	0.012877
315.60	0.013725	664.62	0.0015046	-13.629	-13.627	-39.656	184.14	231.37	1056.1	-0.38485	321.88	0.12676	0.018209	0.53092	1.8835	19.277	21.868	72.811	165.19	174.14	164.00	55.556	6.3400	0.012975
316.80	0.014456	663.58	0.0015070	-13.351	-13.349	-38.777	184.59	231.86	1051.2	-0.38280	317.98	0.12646	0.018085	0.55737	1.7941	19.471	22.070	73.025	165.74	174.72	164.23	54.775	6.3659	0.013073
318.00	0.015219	662.55	0.0015093	-13.073	-13.070	-37.899	185.03	232.36	1046.3	-0.38073	314.16	0.12615	0.017962	0.58487	1.7098	19.665	22.273	73.242	166.30	175.30	164.45	54.011	6.3917	0.013172
319.20	0.016015	661.51	0.0015117	-12.793	-12.791	-37.023	185.48	232.85	1041.4	-0.37864	310.40	0.12585	0.017839	0.61346	1.6301	19.860	22.476	73.462	166.86	175.89	164.67	53.261	6.4176	0.013271
